game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
65,20261066,5,2,3,8,0,2,-1,played,54,668141b00a2678fc,draw,0,0,0,0,0,0
66,20261067,0,3,1,0,0,0,-1,played,55,06560e8a0f9119cb,3iar,0,0,0,0,0,0
67,20261068,5,2,3,8,0,0,-1,played,49,4406e1fc4fed79a4,3iar,0,0,0,0,0,0
68,20261069,2,5,1,8,0,0,-1,played,49,f2e2cde863a27916,3iar,0,0,0,0,0,0
69,20261070,5,0,3,6,0,0,-1,played,58,7aa1216ff5500dfa,count,0,0,0,0,0,0
70,20261071,5,6,5,6,0,0,-1,played,41,46e8499d76e59d91,3iar,0,0,0,0,0,0
71,20261072,6,5,7,2,0,0,-1,played,41,2189a396f2493d74,3iar,0,0,0,0,0,0
72,20261073,6,3,7,0,0,0,-1,played,43,fb4875dcea246c42,3iar,0,0,0,0,0,0
73,20261074,3,2,3,2,0,2,-1,played,50,8894c25acad29821,draw,2,2,2,0,2,0
74,20261075,5,0,3,6,0,0,-1,played,45,80549e22fa3dd4fe,3iar,0,0,0,0,0,0
75,20261076,0,5,1,2,0,1,-1,played,48,01d8b50b8213664d,3iar,0,0,0,0,0,0
76,20261077,6,3,7,0,0,0,-1,played,41,1212f605a9c392b7,3iar,0,0,0,0,0,0
77,20261078,8,5,7,8,0,0,-1,played,51,f87cead3e554c1a5,3iar,0,0,0,0,0,0
78,20261079,5,8,5,8,0,0,-1,played,47,b3d113c8502d0594,3iar,0,0,0,0,0,0
79,20261080,5,2,3,8,0,0,-1,played,47,64a4110b4010bfae,3iar,0,0,0,0,0,0
80,20261081,2,5,1,8,0,1,-1,played,42,a42b3eaffc3d2d79,3iar,0,0,0,0,0,0
81,20261082,8,3,7,6,0,0,-1,played,57,17b883071c0da422,3iar,0,0,0,0,0,0
82,20261083,0,3,1,0,0,0,-1,played,43,053d4d79d8d336b1,3iar,0,0,0,0,0,0
83,20261084,3,0,3,0,0,0,-1,played,45,24dcec4051db4823,3iar,0,0,0,0,0,0
84,20261085,8,5,7,8,0,0,-1,played,35,b231de28ae54b52a,3iar,0,0,0,0,0,0
85,20261086,5,2,3,8,0,0,-1,played,51,f7423bd3bc46e789,3iar,0,0,0,0,0,0
86,20261087,3,6,5,0,0,0,-1,played,43,0d318dca9ef2d4c8,3iar,0,0,0,0,0,0
87,20261088,3,2,3,2,0,0,-1,played,45,a4b794884753cb64,3iar,0,0,0,0,0,0
88,20261089,3,0,3,0,0,1,-1,played,56,2aaf0537ec3622c8,3iar,0,0,0,0,0,0
89,20261090,2,3,1,6,0,0,-1,played,45,25cb15c9636f23d9,3iar,0,0,0,0,0,0
90,20261091,5,6,5,6,0,0,-1,played,41,10ad88cbcf4676eb,3iar,0,0,0,0,0,0
91,20261092,8,3,7,6,0,0,-1,played,37,373403c87a617034,3iar,1,0,1,0,0,0
92,20261093,3,0,3,0,0,0,-1,played,41,6d924d958f99ff10,3iar,0,0,0,0,0,0
93,20261094,5,8,5,8,0,0,-1,played,55,53641dbde6ebc76a,3iar,0,0,0,0,0,0
94,20261095,0,3,1,0,0,0,-1,played,59,6e9d2f94eb7bbc66,3iar,0,0,0,0,0,0
95,20261096,3,6,5,0,0,1,-1,played,54,61759d919638c722,3iar,0,0,0,0,0,0
96,20261097,5,2,3,8,0,0,-1,played,47,7e887a624bd32356,3iar,0,0,0,0,0,0
97,20261098,5,6,5,6,0,0,-1,played,51,f28b2b9afe41e8bc,3iar,0,0,0,0,0,0
98,20261099,0,5,1,2,0,1,-1,played,42,edee918f05a58f09,3iar,0,1,0,0,1,0
99,20261100,5,0,3,6,0,0,-1,played,49,1590c5fca5ccab30,3iar,0,0,0,0,0,0
